id,study_id,contrast_id,x,y,z,space
11832233-1,11832233,1,16.0,-72.0,56.0,mni152_2mm
11832233-1,11832233,1,-16.0,-80.0,48.0,mni152_2mm
11832233-1,11832233,1,-64.0,8.0,16.0,mni152_2mm
11832233-1,11832233,1,-24.0,-4.0,68.0,mni152_2mm
11832233-1,11832233,1,4.0,4.0,56.0,mni152_2mm
11832233-1,11832233,1,-36.0,0.0,56.0,mni152_2mm
11832233-1,11832233,1,-64.0,-36.0,36.0,mni152_2mm
11832233-1,11832233,1,60.0,8.0,32.0,mni152_2mm
11834598-1,11834598,1,-23.84112073909169,-69.43551945308975,62.250044169159125,mni152_2mm
11834598-1,11834598,1,-22.767196161369778,-61.68461691202407,66.04849482797626,mni152_2mm
11834598-1,11834598,1,-23.84112073909169,-69.43551945308975,62.250044169159125,mni152_2mm
11834598-1,11834598,1,-22.767196161369778,-61.68461691202407,66.04849482797626,mni152_2mm
11834598-1,11834598,1,-22.767196161369778,-61.68461691202407,66.04849482797626,mni152_2mm
11834598-1,11834598,1,-23.835796343192467,-61.69101941104849,66.0613063031624,mni152_2mm
11834598-1,11834598,1,-22.755318540688375,-64.85683782277576,66.31439052664416,mni152_2mm
11834598-1,11834598,1,-23.808081894935857,-69.0928682028024,66.68172960005417,mni152_2mm
11834598-1,11834598,1,-36.664869155344185,-46.450174940402505,71.62172555795506,mni152_2mm
11834598-1,11834598,1,18.915788046251294,-65.75021014364624,64.79545353621701,mni152_2mm
11834598-1,11834598,1,18.916470640754003,-61.34925663750032,66.65676865344066,mni152_2mm
11834598-1,11834598,1,-23.84439735148278,-63.97715897669329,64.0227273868268,mni152_2mm
11834598-1,11834598,1,-23.84439735148278,-63.97715897669329,64.0227273868268,mni152_2mm
11834598-1,11834598,1,25.311552309612214,-61.48216726849754,64.36405708687633,mni152_2mm
11834598-1,11834598,1,25.32807173169013,-61.31084164335387,66.57989980232385,mni152_2mm
11834598-1,11834598,1,25.311552309612214,-61.48216726849754,64.36405708687633,mni152_2mm
11834598-1,11834598,1,-23.823918722511063,-64.86324032180016,66.3272020018303,mni152_2mm
11834598-1,11834598,1,-23.84112073909169,-69.43551945308975,62.250044169159125,mni152_2mm
11834598-1,11834598,1,25.32807173169013,-61.31084164335387,66.57989980232385,mni152_2mm
11834598-1,11834598,1,-38.86746461279851,-42.7473289328801,64.6452927637609,mni152_2mm
11834598-1,11834598,1,40.20103042829279,-40.15873006457277,63.51997980087482,mni152_2mm
11834598-1,11834598,1,26.764834566274462,-4.851212687367249,-1.7378907125489125,mni152_2mm
11834598-1,11834598,1,-28.82647142711947,-1.0401775682060672,-2.5341429588174123,mni152_2mm
11834598-1,11834598,1,54.821351055201305,0.3426018552109511,35.421073296107465,mni152_2mm
11834598-1,11834598,1,-24.552070699828718,-1.0145675721084346,-2.5853888595619603,mni152_2mm
11834598-1,11834598,1,-41.012583390231484,-40.645319990427794,64.49365191502125,mni152_2mm
11834598-1,11834598,1,-38.87538302658611,-40.63251499237898,64.46802896464897,mni152_2mm
11834598-1,11834598,1,-38.86746461279851,-42.7473289328801,64.6452927637609,mni152_2mm
11834598-1,11834598,1,-38.86746461279851,-42.7473289328801,64.6452927637609,mni152_2mm
11834598-1,11834598,1,-36.664869155344185,-46.450174940402505,71.62172555795506,mni152_2mm
11834598-1,11834598,1,-36.73026424915314,-42.73452393483129,64.61966981338863,mni152_2mm
11834598-1,11834598,1,18.915788046251294,-65.75021014364624,64.79545353621701,mni152_2mm
11834598-1,11834598,1,54.87090932143505,0.8565787306419745,42.06860144245003,mni152_2mm
11834598-1,11834598,1,-40.96302512399774,-40.13134311499677,71.14118006136381,mni152_2mm
11834598-1,11834598,1,-41.012583390231484,-40.645319990427794,64.49365191502125,mni152_2mm
11834598-1,11834598,1,-41.012583390231484,-40.645319990427794,64.49365191502125,mni152_2mm
11834598-1,11834598,1,40.23045136280617,-36.55819509096191,68.79369089082572,mni152_2mm
11834598-1,11834598,1,40.23045136280617,-36.55819509096191,68.79369089082572,mni152_2mm
11834598-1,11834598,1,40.242328983487575,-39.730416001713586,69.05958658949362,mni152_2mm
11834598-1,11834598,1,40.20103042829279,-40.15873006457277,63.51997980087482,mni152_2mm
11834598-1,11834598,1,-23.860916773560696,-64.14848460183696,61.80688467137928,mni152_2mm
11834598-1,11834598,1,-45.341389122281385,-19.2658021437987,66.09602389781772,mni152_2mm
11834598-1,11834598,1,-40.93926988263493,-46.47578493650013,71.6729714586996,mni152_2mm
11834598-1,11834598,1,8.752904184024537,-73.66205501768013,-9.142710355487797,mni152_2mm
11834598-1,11834598,1,-22.40695192239574,-3.116576514560739,-2.4337480108223,mni152_2mm
11834598-1,11834598,1,-32.57791634106751,-5.528344354820351,63.68215014363274,mni152_2mm
11834598-1,11834598,1,59.36839082378408,-49.530694594999964,50.703372151286956,mni152_2mm
11834598-1,11834598,1,-20.331870040168223,-4.846480987337182,-11.234109923428694,mni152_2mm
11834598-1,11834598,1,18.129818091660933,-2.5011770819573664,-11.872586829241566,mni152_2mm
11834598-1,11834598,1,26.61063043454511,11.125007898351514,-15.343136040405764,mni152_2mm
11834598-1,11834598,1,-7.302242865438076,-82.81698795305358,-15.996932535314325,mni152_2mm
11834598-1,11834598,1,-24.53589257500216,-3.0437187000377186,-1.3002037027262645,mni152_2mm
11834598-1,11834598,1,-6.919634356641593,-8.546905288986238,63.64057043783335,mni152_2mm
11834598-1,11834598,1,50.71043806243293,-8.972135654814732,52.9774585582681,mni152_2mm
11834598-1,11834598,1,-6.953355795300135,-13.290510045419504,57.34756988971466,mni152_2mm
11834598-1,11834598,1,-43.34719786418667,-10.849950976928723,50.86973620103285,mni152_2mm
11834598-1,11834598,1,7.945610863302344,-10.542631023757131,50.25478539209827,mni152_2mm
11834598-1,11834598,1,-39.05334239967827,-18.311852585156856,50.33099223945631,mni152_2mm
11834598-1,11834598,1,-38.921528320306294,-19.141724337080415,67.12707640442466,mni152_2mm
11834598-1,11834598,1,54.821351055201305,0.3426018552109511,35.421073296107465,mni152_2mm
11834598-1,11834598,1,-32.5660387203861,-8.700565265572035,63.948045842300644,mni152_2mm
11834598-1,11834598,1,-36.85040564497259,-19.8142218396063,58.2380825922623,mni152_2mm
11834598-1,11834598,1,-11.735080445487286,12.17946012205038,1.736897432151589,mni152_2mm
11834598-1,11834598,1,26.764834566274462,-4.851212687367249,-1.7378907125489125,mni152_2mm
11834598-1,11834598,1,-7.302242865438076,-82.81698795305358,-15.996932535314325,mni152_2mm
11834598-1,11834598,1,-24.53589257500216,-3.0437187000377186,-1.3002037027262645,mni152_2mm
11834598-1,11834598,1,-2.6452336293508427,-8.521295292888606,63.5893245370888,mni152_2mm
11834598-1,11834598,1,-22.39869221135678,-3.0309137019889025,-1.325826653098539,mni152_2mm
11834598-1,11834598,1,-22.40695192239574,-3.116576514560739,-2.4337480108223,mni152_2mm
11834598-1,11834598,1,26.798897302184358,2.092868822138977,5.485767394181609,mni152_2mm
11834598-1,11834598,1,26.798897302184358,2.092868822138977,5.485767394181609,mni152_2mm
11834598-1,11834598,1,26.822652543547164,-4.251572999364388,6.0175587915174145,mni152_2mm
11834598-1,11834598,1,45.41665412230188,-10.690648027578707,58.75838652192952,mni152_2mm
11834598-1,11834598,1,-7.318762287515991,-82.98831357819726,-18.212775250761847,mni152_2mm
11834598-1,11834598,1,26.764834566274462,-4.851212687367249,-1.7378907125489125,mni152_2mm
